Date,Open,High,Low,Close/Last,Close/Last,Volume
3/26/2020,249.52,262.8,249.05,261.2,261.2,257632800
3/25/2020,244.87,256.35,239.75,246.79,246.79,299430300
3/24/2020,234.42,244.1,233.8,243.15,243.15,235494500
3/23/2020,228.19,229.6833,218.26,222.95,222.95,326025200
3/20/2020,242.53,244.47,228.5,228.8,228.8,347158800
3/19/2020,239.25,247.38,232.22,240.51,240.51,289322000
3/18/2020,236.25,248.37,228.02,240,240,327597100
3/17/2020,245.04,256.17,237.07,252.8,252.8,262070500
3/16/2020,241.18,256.9,237.36,239.85,239.85,297240000
3/13/2020,263.09,271.4754,248.5237,269.32,269.32,329566100
3/12/2020,256,266.66,247.68,248.11,248.11,392220700
3/11/2020,280.7,281.94,270.88,274.36,274.36,256416600
3/10/2020,284.64,288.52,273.5,288.42,288.42,276444100
3/9/2020,275.3,284.19,273.45,274.23,274.23,309417300
3/6/2020,293.15,298.78,290.23,297.46,297.46,228667200
3/5/2020,304.98,308.47,300.01,302.46,302.46,186366800
3/4/2020,306.12,313.1,303.33,312.86,312.86,176613400
3/3/2020,309.5,313.84,297.57,300.24,300.24,300139100
3/2/2020,298.21,309.16,294.46,309.09,309.09,238703600
2/28/2020,288.7,297.892,285.54,296.26,296.26,385764000
2/27/2020,305.46,311.5637,297.51,297.51,297.51,284353500
2/26/2020,314.18,318.11,310.7,311.5,311.5,194773800
2/25/2020,323.94,324.61,311.69,312.65,312.65,218913200
2/24/2020,323.14,333.5623,321.24,322.42,322.42,161088400
2/21/2020,335.47,335.81,332.58,333.48,333.48,113788200
2/20/2020,337.7423,338.64,333.6817,336.95,336.95,74163360
2/19/2020,337.79,339.08,337.48,338.34,338.34,48814690
2/18/2020,336.51,337.6677,335.21,336.73,336.73,57342530
2/14/2020,337.51,337.73,336.2,337.6,337.6,64582210
2/13/2020,335.862,338.12,335.56,337.06,337.06,54501920
2/12/2020,336.83,337.65,336.43,337.42,337.42,43992660
2/11/2020,336.16,337.02,334.684,335.26,335.26,54864530
2/10/2020,331.23,334.75,331.19,334.68,334.68,42070010
2/7/2020,332.82,333.9941,331.6,332.2,332.2,64139440
2/6/2020,333.91,334.19,332.8,333.98,333.98,50359690
2/5/2020,332.27,333.09,330.67,332.86,332.86,65951150
2/4/2020,328.07,330.01,327.72,329.06,329.06,62573190
2/3/2020,323.35,326.16,323.22,324.12,324.12,69242290
1/31/2020,327,327.17,320.73,321.73,321.73,113845600
1/30/2020,324.36,327.91,323.54,327.68,327.68,75491840
1/29/2020,328.38,328.63,326.4,326.62,326.62,54040890
1/28/2020,325.06,327.85,323.6038,326.89,326.89,63833950
1/27/2020,323.03,325.12,322.66,323.5,323.5,84062460
